description_1,description_2,similarity_score
a bright orange flower with green leaves,a bright orange flower,0.93049043
a vibrant blue sphere floating in a golden void,a golden sphere floating in a blue void,0.96115744
a vibrant blue sphere floating in a golden void,a golden sphere floating in a dark blue void,0.9577186
a winding silver river through a green valley,a silver river flowing through a green valley,0.95307326
black and gold striped tie,a silver and black striped tie,0.9056932
a turquoise abstract pattern,a turquoise and gold abstract pattern,0.9378239
yellow and black striped tie,a striped yellow and black tie,0.9751862
yellow and black striped tie,a green and yellow striped tie,0.9168975
a white ceramic mug with a brown handle,a white ceramic mug with a black handle,0.93336946
a white ceramic mug with a brown handle,a blue ceramic mug with a white handle,0.9037484
a white ceramic mug with a brown handle,a white ceramic mug with a handle,0.9469672
orange gradient fading to white,orange gradients fading to white,0.9710427
a bright yellow umbrella,bright yellow umbrella,0.9836309
a denim jacket with brass buttons,blue denim jacket with brass buttons,0.9438369
a denim jacket with brass buttons,navy blue denim jacket with brass buttons,0.92359847
a denim jacket with brass buttons,denim jacket with brass buttons,0.9786307
a vibrant crimson sun setting over a calm blue ocean,a crimson sun setting over a blue ocean,0.9537071
A single bright yellow flower with green leaves,a yellow flower with green leaves,0.92819136
A single bright yellow flower with green leaves,a single yellow flower,0.9137947
Abstract shapes in shades of blue and grey,abstract blue shapes,0.90170205
Abstract shapes in shades of blue and grey,Abstract shapes in shades of gray.,0.9224441
Abstract shapes in shades of blue and grey,abstract shapes in shades of blue and grey,1.0000002
Abstract shapes in shades of blue and grey,abstract shapes in shades of blue,0.95350444
Diagonal orange and black stripes,purple and black diagonal stripes,0.9047145
Diagonal orange and black stripes,black and white diagonal stripes,0.90495074
A vibrant red and yellow sunset over a calm lake.,A vibrant sunset over a calm lake,0.9281653
A vibrant red and yellow sunset over a calm lake.,a vibrant sunset over a calm lake,0.9281653
A vibrant red and yellow sunset over a calm lake.,a fiery red sunset over a calm lake,0.90913427
A vibrant red and yellow sunset over a calm lake.,a red sunset over a calm lake,0.95583856
A stack of blue and green geometric shapes.,a stack of colorful geometric shapes,0.9053595
A close-up of a textured gray wall.,a textured gray wall,0.93327487
A pattern of interlocking purple and orange circles.,a pattern of interlocking orange circles,0.9110697
A lone white star on a black background.,a single white star on a black background,0.94815314
A lone white star on a black background.,a white star on a black background,0.9328021
A swirling vortex of light blue and dark blue colors.,a swirling vortex of blue and green,0.91162694
A swirling vortex of light blue and dark blue colors.,a blue vortex,0.9141867
A simple black line drawing of a house.,A simple line drawing of a house.,0.933444
A simple black line drawing of a house.,a black line drawing of a house,0.9775988
A simple black line drawing of a house.,a simple black line drawing of a house,0.990407
A simple black line drawing of a house.,a simple line drawing of a house,0.9190742
a field of golden wheat under a blue sky,a field of golden wheat under a clear blue sky,0.99204195
A bright yellow sun setting behind mountains,a bright yellow sun setting behind purple mountains,0.9308251
A pattern of interconnected orange circles,a pattern of concentric orange circles,0.90889406
A dark blue night sky with many white stars,a dark blue night sky with stars,0.9073745
golden ratio spiral with a deep blue gradient,golden ratio spiral in deep blue,0.92784166
a black cat sitting on a red couch,a black cat on a red sofa,0.9063436
a solitary green tree on a hill,a single tall green tree on a hill,0.9040561
a solitary green tree on a hill,a green hill with a single tree,0.9024471
a solitary green tree on a hill,A lone tree on a green hill.,0.9381112
brown leather gloves with stitching detail,brown leather gloves with stitching,0.97316957
overlapping orange squares and purple triangles,overlapping purple and orange triangles,0.9439681
three overlapping blue squares,two overlapping blue squares,0.9179797
a grid of small green triangles,green triangles arranged in a grid,0.9028735
a grid of small green triangles,a grid of green triangles,0.9672771
a dark blue wavy line,A simple blue wavy line,0.94457984
Blue geometric shapes forming a pattern,a blue geometric pattern,0.902827
Blue geometric shapes forming a pattern,Blue geometric shapes forming a pattern.,0.9851341
Blue geometric shapes forming a pattern,blue geometric shapes arranged in a pattern,0.9504155
A stack of grey stones,a stack of gray stones,0.9859503
A stack of grey stones,a stack of grey stones,1.0
Teal and gold concentric circles.,Teal and gold concentric circles,0.97600305
Teal and gold concentric circles.,teal and gold concentric circles,0.9760028
A field of purple flowers under a yellow sky.,a field of purple flowers under a clear sky,0.92258966
Three purple spheres arranged in a triangle,three blue spheres arranged in a triangle,0.90751725
A silver ring with a clear gemstone,a silver ring with a blue gemstone,0.9319998
A silver ring with a clear gemstone,a silver ring with an emerald gemstone,0.9062177
A silver ring with a clear gemstone,A silver ring with a single green gemstone.,0.910818
a cluster of red and blue spheres,a cluster of red spheres,0.9557199
golden gears interlocking,a set of interlocking golden gears,0.9333653
pink and green floral pattern,a pink floral pattern,0.93788874
a single yellow star,A single yellow star in a dark sky,0.92418104
a single yellow star,a yellow star,0.9472263
A sun with orange rays,an orange sun,0.91289026
A brown wooden fence,a brown wooden fence,1.0
A brown wooden fence,a tall brown wooden fence,0.9478537
A brown wooden fence,a wooden fence,0.9022152
A brown wooden fence,a rustic brown wooden fence,0.9591281
Orange abstract shapes,Orange abstract shapes.,0.9872763
Orange abstract shapes,purple and orange abstract shapes,0.9171933
Orange abstract shapes,orange and purple abstract shapes,0.94154644
Orange abstract shapes,abstract shapes in shades of orange and pink,0.9262173
Orange abstract shapes,abstract shapes in shades of orange and yellow,0.92366695
Orange abstract shapes,a abstract shape in shades of orange,0.93322605
Orange abstract shapes,abstract shapes in orange and purple,0.9329963
Orange abstract shapes,abstract shapes in shades of orange and purple,0.91401285
A bright red square on a blue background.,A bright red square on a black background,0.9152366
A bright red square on a blue background.,a bright red square on a black background,0.9152366
A bright red square on a blue background.,a red square on a blue background,0.9562044
Three overlapping green circles.,three overlapping green circles,0.97670543
A gradient from yellow to red.,red and yellow gradient,0.90686035
A grid of small pink circles.,a grid of small pink circles,0.983364
A gradient from dark purple to light pink,a gradient from light pink to dark red,0.9054341
scattered pink circles on a gray background,pink circles scattered on a white background,0.93363583
a silver spoon next to a gold fork,a silver fork and spoon,0.9113766
abstract blue and white waves,Blue abstract waves.,0.92080176
abstract blue and white waves,abstract blue and yellow waves,0.9087676
a group of purple stars on a black background,purple stars on a black background,0.9108488
A vibrant red ball on a green field,a red ball on a green field,0.91838855
Blue and yellow stripes arranged diagonally,green and yellow stripes arranged diagonally,0.9431354
An orange circle in a black square,an orange circle in a square,0.9494765
Green wavy lines on a white background,wavy green lines on a white background,0.99663377
Green wavy lines on a white background,green wavy lines on a white background,0.99999994
Green wavy lines on a white background,green wavy lines on a black background,0.90850276
A tangled mess of silver wires,a tangled mess of silver wires,1.0000001
A single large brown triangle,a small brown triangle,0.9011587
a green wave pattern,a green abstract wave pattern,0.9167619
four interconnected teal rings,interconnected teal rings,0.93140984
yellow and black striped cylinder,Green and yellow striped cylinder,0.9372774
brown leather boots with brass buckles,brown leather boots with silver buckles,0.9028971
brown leather boots with brass buckles,burgundy leather boots with brass buckles,0.91493917
brown leather boots with brass buckles,worn brown leather boots with metal buckles,0.90701246
brown leather boots with brass buckles,brown leather boots with buckles,0.9150462
orange flowers in a blue vase,orange flowers in a green vase,0.9334004
overlapping orange squares and pink circles,overlapping pink and orange circles,0.92325205
a blue boat on a calm lake,a small boat on a calm blue lake,0.9394326
a white cloud in a grey sky,a white cloud in a gray sky,0.9896419
a white cloud in a grey sky,a grey cloud in a white sky,0.9941979
a white cloud in a grey sky,white clouds in a gray sky,0.93520314
orange and purple geometric shapes,orange geometric shapes,0.9268906
a shimmering gold ring with an emerald stone,a golden ring with an emerald stone,0.9038037
a dark blue velvet curtain,a velvet curtain in shades of deep blue,0.9305707
three overlapping yellow circles,three yellow circles,0.90114784
a gray stone wall with green ivy,a grey stone wall with ivy,0.9663519
a dark blue abstract painting,a blue and green abstract painting,0.9193826
a dark blue abstract painting,a blue abstract painting,0.9688753
a red velvet curtain,red velvet curtain,0.96063405
a red velvet curtain,a dark red velvet curtain,0.9835279
a yellow rubber duck in a blue bathtub,a yellow rubber duck floating in a bathtub,0.94929224
a yellow rubber duck in a blue bathtub,a yellow rubber duck in a bathtub,0.97860837
a yellow rubber duck in a blue bathtub,a bright yellow rubber duck in a blue bathtub,0.99184644
a yellow rubber duck in a blue bathtub,a yellow rubber duck floating in a blue bathtub,0.9676731
a starry black sky,a starry night sky,0.90935826
concentric orange circles,Concentric orange circles,0.9999999
concentric orange circles,pink and orange concentric circles,0.9191259
concentric orange circles,orange and purple concentric circles,0.9248821
a checkered pattern of pink and gray,a checkered pattern of pink and grey,0.9897555
a checkered pattern of pink and gray,a pink and white checkered pattern,0.91649866
a misty grey forest,a misty forest,0.91277874
a clear glass of water with ice cubes,a glass of water with ice cubes,0.9651034
a clear glass of water with ice cubes,a clear glass of water with ice,0.9236332
a brown leather satchel,a brown leather satchel with buckle straps,0.9190115
a brown leather satchel,a rustic brown leather satchel,0.9646983
a yellow sun setting over blue mountains,a bright yellow sun rising over blue mountains,0.9114634
a yellow sun setting over blue mountains,a yellow sun setting over purple mountains,0.9066732
a blue car driving on a gray road,a small blue car driving on a gray road,0.91961956
a blue car driving on a gray road,a blue car on a grey road,0.95091593
a blue car driving on a gray road,a blue car on a gray road,0.9640073
a blue car driving on a gray road,a blue car driving on a grey road,0.98793197
purple grapes in a wooden bowl,purple grapes in a bowl,0.9487242
purple grapes in a wooden bowl,purple grapes in a green bowl,0.9231958
purple and pink vertical stripes,purple horizontal stripes,0.90706563
Three overlapping purple triangles,three overlapping purple triangles,1.0000002
A checkered pattern of pink and gray squares,A checkered pattern of pink and grey squares,0.99236584
A checkered pattern of pink and gray squares,a checkered pattern of pink and white squares,0.96082926
a silver star with a blue outline,A silver star outline,0.91629004
overlapping orange and green triangles,overlapping orange triangles,0.96579015
overlapping orange and green triangles,overlapping orange and blue triangles,0.9574566
A checkered pattern of yellow and purple squares,a checkered pattern of green and yellow squares,0.9261598
A simple blue square,a single blue square,0.9348823
A simple blue square,a simple blue square,1.0000002
A simple blue square,a blue square,0.94695425
A grid of small black circles,a grid of black and white circles,0.9129639
a shimmering silver sphere,A shimmering silver sphere,1.0000002
a striped black and white cat,a black and white striped cat,0.99534
a striped black and white cat,a striped black and grey cat,0.9529524
Blue waves in an ocean scene,blue waves in an ocean,0.9538082
Two overlapping purple squares,three overlapping purple squares,0.9335303
Two overlapping purple squares,overlapping purple and orange squares,0.93077254
A red triangle inside a blue circle.,a red triangle on a blue circle,0.92782784
An orange spiral.,An orange spiral,0.9741633
An orange spiral.,an orange spiral,0.9741633
An orange spiral.,a spiral of orange and purple,0.903757
A silver robot with blinking blue eyes.,A silver robot with bright blue eyes,0.92415404
Pink flowers in a green field.,A pink flower in a green field,0.9121241
Pink flowers in a green field.,bright pink flowers in a field,0.9406413
A white cloud against a blue sky.,a white cloud against a blue sky,0.9867557
A white cloud against a blue sky.,a white cloud against a light blue sky,0.9800408
A white cloud against a blue sky.,a white cloud against a clear sky,0.9283304
red triangles arranged in a circle,Red triangles arranged in a circle.,0.97451407
red triangles arranged in a circle,Red triangles in a circular arrangement,0.9025861
a silver sphere reflecting blue light,a silver sphere reflecting a blue sky,0.90251225
a checkered pattern of teal and white,a checkered pattern in teal and white,0.9651906
brown leather wallet with stitching,a brown leather wallet with visible stitching,0.9601598
brown leather wallet with stitching,a brown leather wallet with stitching detail,0.9502971
A geometric pattern of overlapping circles,a pattern of overlapping circles,0.9746009
A geometric pattern of overlapping circles,A geometric pattern of overlapping circles.,0.99011624
A red horizontal line and a black vertical line intersecting in the center.,a red horizontal line and a blue vertical line intersecting in the center,0.90291727
A thin black spiral.,A single black spiral.,0.92189515
A thin black spiral.,a black and white spiral,0.9075583
yellow wavy lines on a purple background,a wavy yellow line on a purple background,0.92960066
yellow wavy lines on a purple background,wavy purple lines on a white background,0.92497945
a red abstract pattern,a vibrant red abstract pattern,0.94253504
a red abstract pattern,a red and black abstract pattern,0.9462217
a red abstract pattern,a red and blue abstract pattern,0.9396403
orange spiral on a black background,an orange spiral on a black background,0.9817712
purple and green swirling lines,yellow and purple swirling lines,0.9323578
a sunset over a calm orange ocean,"a sunset over a calm, pink ocean",0.9051608
a sunset over a calm orange ocean,a vibrant orange sunset over calm water,0.9034083
a sunset over a calm orange ocean,an orange sunset over the ocean,0.9572458
yellow rain boots,bright yellow rain boots,0.9683217
Navy blue striped socks,navy blue and gold striped socks,0.96047825
A silver key,a silver key,0.99999994
A silver key,a simple silver key,0.93236446
A gray concrete wall,a grey concrete wall,0.9857367
A gray concrete wall,a gray concrete wall,1.0000002
Three yellow stars,three yellow stars,1.0000001
Three yellow stars,three yellow stars in a row,0.93668675
A set of overlapping cerulean circles,overlapping cerulean circles,0.9059674
Red and blue intertwined spirals.,blue and green intertwined spirals,0.91137445
Red and blue intertwined spirals.,two intertwined blue and red spirals,0.9259353
Overlapping teal and purple circles.,teal circles overlapping,0.91499746
A simple orange line drawing of a cat.,a simple line drawing of a cat,0.9174224
intersecting orange lines,intersecting purple and orange lines,0.9117358
A vibrant coral reef with colorful fish.,a vibrant coral reef,0.90620404
A vibrant coral reef with colorful fish.,a coral reef with colorful fish,0.96563315
A vibrant coral reef with colorful fish.,a vibrant coral reef with colorful fish,0.99150765
A vibrant coral reef with colorful fish.,a vibrant coral reef with fish,0.9577093
A vibrant coral reef with colorful fish.,a vibrant coral reef with various fish,0.95384586
A vibrant coral reef with colorful fish.,a coral reef with colourful fish,0.956265
A vibrant coral reef with colorful fish.,a vibrant coral reef teeming with colorful fish,0.9231913
A steaming cup of coffee on a wooden table.,a steaming cup of coffee on a wooden table,0.99226165
A steaming cup of coffee on a wooden table.,a steaming mug of coffee on a wooden table,0.95145416
A steaming cup of coffee on a wooden table.,a cup of coffee on a wooden table,0.9173808
A futuristic city skyline at night.,a futuristic city skyline at night,0.99116874
A futuristic city skyline at night.,a city skyline at night,0.92492473
A futuristic city skyline at night.,a bustling city skyline at night,0.9137224
A futuristic city skyline at night.,an urban skyline at night,0.9231223
A red sports car parked on a gray road.,A red sports car parked on a black road.,0.9030112
A cozy fireplace with a crackling fire.,a cozy fireplace with a crackling fire,0.99256223
A green striped pattern,a green and yellow striped pattern,0.9479569
three overlapping yellow rings,overlapping yellow and orange rings,0.9115255
a wavy pattern of blue and white lines,a wavy pattern of blue and white stripes,0.92171943
a wavy pattern of blue and white lines,a wavy pattern of light blue lines,0.9561885
diagonal green stripes on a white background,diagonal green and white stripes,0.91349316
abstract geometric shapes in primary colors,geometric shapes in primary colors,0.9525599
abstract geometric shapes in primary colors,abstract shapes in primary colors,0.9553324
Red and black striped hot air balloons in a clear sky,Red and yellow striped hot air balloons floating in a clear sky,0.94542766
Three yellow stars on a pink background,three yellow stars on a black background,0.92608994
Red and white striped spheres,red and green striped sphere,0.9069241
A silver ring with a large emerald stone,a silver ring with an emerald stone,0.98021495
a checkered pattern of orange and black squares,orange squares in a checkered pattern,0.9139292
a gray cloud raining purple raindrops,a gray cloud raining blue raindrops,0.94059956
a gray cloud raining purple raindrops,a grey cloud with falling blue raindrops,0.90026575
A single yellow triangle on a purple background,a yellow triangle on a purple background,0.9743161
A single yellow triangle on a purple background,yellow triangles on a purple background,0.9119016
a winding road through an autumn forest,a winding road through a forest,0.902109
a winding road through an autumn forest,a winding road through autumn foliage,0.9040327
a winding road through an autumn forest,a winding path through an autumn forest,0.93053293
a stack of blue and green boxes,"a stack of colored boxes (red, green, blue)",0.92963356
pink and orange concentric rings,orange and brown concentric rings,0.9207741
pink and orange concentric rings,concentric rings of orange and pink,0.97071254
pink and orange concentric rings,concentric orange rings,0.91703
a spiral of tiny purple dots,a spiral of small purple dots,0.9932004
a spiral of tiny purple dots,a spiral of purple dots,0.95931923
a large blue circle on a gray background,a dark blue circle on a light gray background,0.92978346
a large blue circle on a gray background,a deep blue circle on a light gray background,0.9203845
swirling patterns of magenta and cyan,magenta and cyan swirling colors,0.9025415
a bright yellow sun setting over calm blue water,A vibrant yellow sun setting over calm blue water,0.9790614
a dark grey cloud with light blue raindrops,a grey cloud with blue raindrops,0.967123
a dark grey cloud with light blue raindrops,a grey cloud with blue rain drops,0.92812824
a silver spoon resting on a wooden table,a silver spoon on a wooden table,0.9324552
a silver ring with a large blue stone,a silver ring with a blue stone,0.973117
a wooden desk with a green lamp,a wooden desk with a lamp,0.91134715
a calm blue lake surrounded by mountains,a calm blue lake surrounded by hills,0.91365206
a calm blue lake surrounded by mountains,a serene blue lake surrounded by mountains,0.9402082
a calm blue lake surrounded by mountains,A deep blue lake surrounded by mountains.,0.92309815
a green valley with a winding river,A winding river through a green valley,0.96628207
a green valley with a winding river,a winding river through a green valley,0.96628207
a green valley with a winding river,a winding river flowing through a green valley,0.9412567
a green valley with a winding river,a winding river in a green valley,0.9750844
a blue sphere against a green background,a blue sphere on a red background,0.90331364
silver rings intertwined,intertwined gold and silver rings,0.91741025
silver rings intertwined,silver rings linked together,0.9065018
silver rings intertwined,two silver rings intertwined,0.97066784
silver rings intertwined,Silver rings intertwined,1.0000001
silver rings intertwined,intertwined silver and gold rings,0.9397404
dark blue waves on a light blue background,blue waves on a light blue background,0.9732116
dark blue waves on a light blue background,blue waves on a white background,0.9106407
dark blue waves on a light blue background,blue waves on a red background,0.9064522
purple concentric squares,concentric orange and purple squares,0.9130673
a brown tree silhouette against an orange sky,A brown tree silhouette against an orange sunset,0.9292402
pink triangles arranged in a circle,pink triangles arranged in a circular pattern,0.9232339
purple circles overlapping,overlapping orange and purple circles,0.9089403
teal waves on a white background,teal waves on a light blue background,0.90398467
a tall green tree,a towering green tree,0.92775786
a tall green tree,"a tall, green tree",0.99080276
a yellow star in a green field,A field of yellow stars.,0.9057517
a spiral of small green dots,a spiral of green dots,0.96407056
a spiral of small green dots,A spiral made of small green dots.,0.95156443
Overlapping green and blue waves,overlapping green and blue waves,0.99999964
Overlapping green and blue waves,overlapping blue and green waves,0.9939461
interconnected gray hexagons,a series of interconnected gray hexagons,0.9577621
a sandy beach with palm trees,a tropical beach with palm trees,0.9105135
a sandy beach with palm trees,a sandy beach with a few palm trees,0.9878677
A stack of brown cubes,a stack of brown cubes,0.9999999
Purple waves on a white background,purple waves on a white background,1.0000002
two overlapping yellow squares,overlapping blue and yellow squares,0.9179499
A single red square with a thick black border.,a red square with a black border,0.9045044
A brown wooden chair with a striped cushion.,A wooden chair with a striped cushion,0.9285498
A brown wooden chair with a striped cushion.,a brown wooden chair with a striped cushion,0.9959568
A brown wooden chair with a striped cushion.,a wooden chair with a striped cushion,0.9285498
A brown wooden chair with a striped cushion.,a dark wooden chair with a striped cushion,0.91259986
A chessboard pattern in black and white.,a chess board pattern with black and white squares,0.90381193
blue wavy lines on a pink background,Pink and blue wavy lines,0.9166614
a single brown tree with orange leaves,a brown tree with orange leaves,0.93622863
Cyan hexagons forming a honeycomb structure.,cyan hexagons arranged in a honeycomb pattern,0.9137835
a dark blue geometric pattern,a geometric pattern in shades of blue,0.91791844
a red triangle on a blue square,a red triangle next to a blue square,0.9713231
three overlapping purple rectangles,Two overlapping purple rectangles.,0.9131293
three overlapping purple rectangles,overlapping purple rectangles,0.9419769
three overlapping purple rectangles,overlapping green and purple rectangles,0.90638256
a checkered pattern of light blue and dark blue,a checkered pattern of blue and green,0.9041567
A geometric pattern of overlapping blue and yellow circles,blue geometric pattern with overlapping circles,0.93200696
Three purple flowers in a brown pot,purple flowers in a brown pot,0.90403914
a silver ring with a small sapphire gem,a silver ring with a small sapphire,0.96435755
three green triangles arranged in a line,green triangles arranged in a line,0.9374621
Orange circles arranged in a diagonal line,orange circles arranged in a line,0.91666913
A silver teapot with a floral pattern,a silver teapot with floral engraving,0.9215987
A silver teapot with a floral pattern,a silver teapot with a floral design,0.97805315
Purple stars scattered on a black background,Purple stars scattered across a grey background,0.9217214
Brown leather belt with a gold buckle,brown leather belt with a silver buckle,0.93696725
Brown leather belt with a gold buckle,brown leather belt with a simple buckle,0.909168
Brown leather belt with a gold buckle,a black patent leather belt with a gold buckle,0.9053381
Brown leather belt with a gold buckle,a brown leather belt with a silver buckle,0.922367
Brown leather belt with a gold buckle,A brown leather belt with a silver buckle.,0.900999
a tangled mess of wires,a tangled mess of black wires,0.9103797
a simple red heart,a red heart,0.94268286
a simple red heart,a solitary red heart,0.9012132
an orange cat sleeping on a striped rug,an orange cat sleeping on a rug,0.96376693
"a stack of four books, red, blue, green, and yellow","a stack of four colorful books (red, blue, green, yellow from top to bottom)",0.95458734
A green spiral pattern,a green spiral pattern,0.9999999
A green spiral pattern,a spiral pattern in shades of green,0.9614656
Overlapping translucent pink and purple circles,overlapping translucent pink circles,0.9555253
A gradient from red to orange,a gradient from orange to pink,0.9239259
A gradient from red to orange,a gradient from pink to orange,0.9331498
a thick purple line,a single purple line,0.9146086
a silver ring,A silver ring.,0.97353363
a silver ring,a simple silver ring,0.9442669
an emerald green velvet curtain,dark green velvet curtain,0.9122915
an emerald green velvet curtain,a deep green velvet curtain,0.93046427
a deep space nebula with blues and purples,a deep space nebula in shades of pink and purple,0.9255794
a deep space nebula with blues and purples,a purple nebula in space,0.9015037
a deep space nebula with blues and purples,a deep purple nebula,0.91004926
a deep space nebula with blues and purples,a deep space nebula in pink and purple,0.9185573
A spiral galaxy with green and purple arms.,a spiral galaxy with purple arms and a bright core,0.91816056
A green apple next to an orange.,a green apple next to a red apple,0.92174935
three stacked green squares,three green squares stacked vertically,0.9406269
three stacked green squares,a stack of three green squares,0.93482804
a checkerboard pattern of light gray and dark gray,a checkerboard pattern in grey and white,0.918834
a red circle with a blue border,A blue circle with a green border,0.904529
a red circle with a blue border,a blue circle with a red border,0.9938013
a thin white cross,a white cross,0.92546344
A yellow zigzag line,a yellow zigzag line on a gray background,0.9064505
A yellow zigzag line,a yellow zigzag line,1.0
A yellow zigzag line,a zigzag line in bright yellow,0.96325827
A green landscape with rolling hills,a landscape with rolling hills,0.91037184
A green landscape with rolling hills,a landscape with rolling green hills,0.9931994
A simple brown chair,a simple brown chair,1.0
A dark blue night sky with a crescent moon,a white crescent moon in a dark blue sky,0.9054208
A dark blue night sky with a crescent moon,a dark night sky with a crescent moon,0.92893434
a checkered pattern of blue and green squares,a checkered pattern of white and blue squares,0.94275594
a checkered pattern of blue and green squares,a checkered pattern of green and white squares,0.93004537
three interlocking silver rings,silver rings interlocking,0.93521273
three interlocking silver rings,interlocking silver rings,0.9446056
a red zigzag line,a zigzag line in red,0.983219
a white bird in a blue sky,a white bird flying in a clear blue sky,0.937145
a white bird in a blue sky,a blue bird flying in a white sky,0.94570637
a purple butterfly on a pink flower,A purple butterfly on a white flower,0.90567553
a purple butterfly on a pink flower,a purple butterfly on a flower,0.9580636
yellow dots arranged in a spiral,a spiral made of yellow dots,0.92241573
Yellow circles scattered on a grey surface.,yellow circles scattered on a grey plane,0.9157587
Yellow circles scattered on a grey surface.,yellow circles scattered on a grey background,0.932412
A pink cloud in a blue sky.,pink clouds in a blue sky,0.9201896
A pink cloud in a blue sky.,a pink cloud in a blue sky,0.9900172
A black cat sitting on a red chair,a black cat sitting on a red cushion,0.90203905
Pink circles on a green background,pink circles on a white background,0.9276334
a black wavy line,A single black wavy line,0.9713305
Red triangles arranged in a grid.,red triangles arranged in a grid,0.9760864
A grey gradient background.,a grey gradient background,0.96434057
a blue sphere on a green plane,A red sphere on a blue plane,0.9061161
a blue sphere on a green plane,a red sphere on a blue plane,0.9061161
yellow squares in a grid,yellow squares in a grid pattern,0.9398175
brown parallel lines,Brown parallel lines.,0.9665141
brown parallel lines,parallel brown lines,0.98213387
a group of green trees in a park,green trees in a park,0.93100375
a single red apple,a simple red apple,0.9176077
a single red apple,a single ripe red apple,0.9168649
a black and white striped shirt,a black and white striped t-shirt,0.925208
a red and black checkered flag,a black and red checkered flag,0.99034905
a red and black checkered flag,a red and white checkered flag,0.944278
a stack of blue and white books,a stack of white books,0.91317385
a golden sun over blue waves,a golden sun setting over blue waves,0.96598727
red and black striped shirt,red and black striped t-shirt,0.94571304
red and black striped shirt,red and white striped t-shirt,0.90321016
red and black striped shirt,red and white striped shirt,0.9470477
blue and yellow flowers in a green field,a field of green and yellow flowers,0.90006065
a pink crescent moon in a starry sky,a pink crescent moon in a starry night sky,0.9912741
a stack of three blue rectangles,three stacked blue rectangles,0.9406779
A silver car parked on a city street,a silver car on a city street,0.9094274
a bright yellow sphere casting a long blue shadow,A blue sphere casting a long shadow.,0.909477
Blue and grey geometric patterns,geometric blue and white patterns,0.90404737
Purple stars scattered on a black canvas.,purple stars scattered on a dark purple canvas,0.93261755
Purple stars scattered on a black canvas.,purple stars scattered on a black canvas,0.9779635
a brown zigzag line,a brown zig-zag line,0.90605646
a gray checkered floor,grey and white checkered floor,0.930388
blue wavy lines,blue and green wavy lines,0.9562338
a black cat sleeping on a red rug,A black cat sleeping on a red rug,1.0000002
a black cat sleeping on a red rug,a black cat sleeping on a green rug,0.92299116
a black cat sleeping on a red rug,a black cat sleeping on a white rug,0.9239005
a black cat sleeping on a red rug,a black cat sleeping on a striped rug,0.9107932
a striped blue and white t-shirt,a blue striped t-shirt,0.95509005
a striped blue and white t-shirt,blue and white striped t-shirt,0.96909916
a striped blue and white t-shirt,blue and yellow striped t-shirt,0.9261554
a striped blue and white t-shirt,a striped blue and white shirt,0.9403303
a striped blue and white t-shirt,striped blue and white t-shirt,0.97550225
a striped blue and white t-shirt,a blue and white striped t-shirt,0.9947647
a striped blue and white t-shirt,a striped t-shirt (blue and white),0.97553915
a striped blue and white t-shirt,striped cotton t-shirt in blue and white,0.9244908
a stack of three colorful books,"a stack of three colorful books, red, blue, and yellow from bottom to top",0.93745816
orange circles and purple squares,orange circles and blue squares,0.9342281
a pink flower with yellow petals,A pink flower with yellow petals.,0.9938799
a pink flower with yellow petals,a pink flower with a yellow center,0.9225354
a pink flower with yellow petals,a pink flower with yellow center,0.9272293
a blue sphere with a green ring,a blue sphere with a red ring around it,0.9041747
a red and white striped umbrella,a red and yellow striped umbrella,0.9476619
a red and white striped umbrella,"a striped umbrella, red and white",0.98484117
teal circles arranged in a spiral,teal circles arranged in a spiral pattern,0.9728247
Yellow wavy lines,green and yellow wavy lines,0.9286758
Yellow wavy lines,a yellow wavy line,0.907508
A golden spiral,a golden spiral,1.0000002
A golden spiral,a golden ratio spiral,0.9038296
Pink diagonal stripes,pink and white diagonal stripes,0.9563602
a simple blue circle,a single blue circle,0.9209541
a red flower with green leaves,a vibrant red flower with green leaves,0.93252206
a small red car driving on a gray road,a small red car driving on a grey road,0.9896868
a blue geometric pattern consisting of interlocking hexagons,a pattern of interlocking hexagons,0.91061366
yellow stars scattered across a purple sky,bright yellow stars scattered across a dark purple sky,0.97729516
green grass and yellow flowers,green grass with yellow flowers,0.95290625
a yellow star with rounded points,A yellow star with sharp points.,0.9064666
an orange gradient fading from left to right,a red gradient fading to orange,0.92420447
a winding path through a dense green forest,a winding path through a forest,0.91333205
a clear glass vase with a single red rose,a clear glass vase with three red roses,0.9190502
a smooth gray stone,a smooth grey stone,0.9884943
a fluffy white cloud,fluffy white clouds,0.9346061
A silver key with intricate carvings,A silver key with intricate carvings.,0.9854532
a golden spiral on a black background,golden spirals on a black background,0.96046615
a grey brick wall,A gray brick wall,0.98796046
a cluster of purple stars,a cluster of purple and silver stars,0.9248176
A forest with a winding path,a winding forest path,0.93761176
A desert at sunset,A desert landscape at sunset,0.9394139
A desert at sunset,a desert landscape at sunset,0.9394139
A desert at sunset,a desert at sunset,1.0000002
A desert at sunset,a sandy desert at sunset,0.9484442
A desert at sunset,a brown desert at sunset,0.93804705
A single brown feather floating in the air,a single feather floating in the air,0.9333181
Red and yellow checkered pattern.,a red and yellow checkered pattern,0.96685445
Red and yellow checkered pattern.,a red and blue checkered pattern,0.90220594
concentric orange circles on a white background,Orange circles on a white background,0.93652606
purple hexagons arranged in a honeycomb structure,purple hexagons in a honeycomb,0.9454711
three stacked orange cubes,a stack of orange cubes,0.9021157
teal and orange interlocking rings,teal and gold interlocking rings,0.9042516
